algorithm,group,seed,max_reward,profits,user_satisfaction,voltage_violation,runtime,time_to_max,epochs,max_reward_epoch
MB-TD3_1,grid,40,-19385.08348256,-428.3511848,0.83708836,-0.19032584,9.974585065340834,318.5681431721259,387,206
MB-TD3_1,v2g,100,648.42455939,648.42455939,0.21930023,-0.15387278,38.5751848777475,114.57975706261637,202,10
MB-TD3_1,v2g_profitmax,100,-1837.51825348,-978.952975,0.98574879,-0.38846441,38.44764174265666,654.1837550243072,201,57
MB-TD3_10,grid,40,-12071.7906113,-549.12305939,0.94105084,-0.17454937,14.987327875785,87.53660529219557,452,44
MB-TD3_10,v2g,100,647.78425399,647.78425399,0.21982872,-0.15383077,38.46598961214777,88.76766833572563,182,7
MB-TD3_10,v2g_profitmax,40,-657.63377556,-657.63377556,1.0,-0.24587004,14.995564113958055,146.78959113471416,521,85
MB-TD3_2,grid,40,-18428.38340066,-466.40217126,0.86145958,-0.20204186,9.967943747373331,498.65212199136147,391,326
MB-TD3_2,v2g,100,655.8883625,655.8883625,0.2158779,-0.15379716,38.54094372866834,104.5834653943764,199,9
MB-TD3_2,v2g_profitmax,40,-1096.3811096,-646.39740947,0.99187978,-0.24504005,9.946938371929445,108.82120612025376,351,64
MB-TD3_25,grid,40,-10665.46198302,-548.01620876,0.94499727,-0.15672139,14.957687324418334,184.9497824573348,296,61
MB-TD3_25,v2g,100,657.9204996,657.9204996,0.21428571,-0.15310939,38.34562343231472,116.49303321209534,158,8
MB-TD3_25,v2g_profitmax,0,-657.63076215,-657.63076215,1.0,-0.24587004,14.98992882215028,15.778872444368716,399,7
MB-TD3_40,grid,30,-10608.85537051,-547.88111436,0.94553485,-0.15456648,14.959016436108888,301.79325735730595,229,77
MB-TD3_40,v2g,100,657.96368544,657.96368544,0.21428571,-0.15310939,38.39336011089195,165.7267342916199,139,10
MB-TD3_40,v2g_profitmax,0,-657.65203245,-657.65203245,1.0,-0.24587004,14.952443757115,191.24128692485644,319,68
MB-TD3_5,grid,40,-14443.57314785,-450.14085934,0.87989345,-0.15947819,9.979892561129168,103.3631729545521,336,58
MB-TD3_5,v2g,100,657.9204996,657.9204996,0.21428571,-0.15310939,38.53967292755056,59.59743236219159,194,5
MB-TD3_5,v2g_profitmax,40,-1192.85027481,-638.52835665,0.98962077,-0.24358662,9.978712804868612,54.882920426777375,360,33
MB-TD3_50,grid,70,-10759.98336435,-545.84792152,0.94104051,-0.1527359,24.953597817169445,368.00255366734734,297,73
MB-TD3_50,v2g,50,415.04186073,415.04186073,0.21469261,-0.12673189,24.930537958971943,44.73517091703377,535,16
MB-TD3_50,v2g_profitmax,50,-657.62352178,-657.62352178,1.0,-0.24587004,24.95989072121777,33.48278023577994,492,11
MB-TD3_60,grid,50,-10705.52077001,-548.73050605,0.94599607,-0.1582092,24.92971839395028,361.0510939813489,261,63
MB-TD3_60,v2g,50,414.23959421,414.23959421,0.21504039,-0.12692439,24.972640956714447,66.67168780012756,427,19
MB-TD3_60,v2g_profitmax,50,-657.63112089,-657.63112089,1.0,-0.24586813,24.98689664745389,317.5278555199234,373,79
MB-TD3_70,grid,70,-10607.64489715,-519.99622702,0.92806409,-0.14143136,24.930813824820557,370.92186422294,246,61
MB-TD3_70,v2g,50,415.20049164,415.20049164,0.21469945,-0.12673189,24.995195227216943,80.34169894462589,392,21
MB-TD3_70,v2g_profitmax,50,-657.64001936,-657.64001936,1.0,-0.24587004,24.95437922304389,119.78102027061067,350,28
MB-TD3_80,grid,70,-10750.09077639,-521.82153548,0.9298539,-0.14494529,24.98839410584861,616.649080354006,248,102
MB-TD3_80,v2g,50,413.63900809,413.63900809,0.21626169,-0.12673557,24.94340819985084,98.13799947482298,366,24
MB-TD3_80,v2g_profitmax,50,-657.64313576,-657.64313576,1.0,-0.24587004,24.986992303135,30.33103111941243,346,7
SAC_1,grid,0,-25126.41414658,-289.05096923,0.7396483,-0.18153741,6.861243902023055,227.05765902571142,194,107
SAC_1,v2g,0,366.03040697,366.03040697,0.25175831,-0.13153729,6.957018680077778,46.380124533851856,189,21
SAC_1,v2g_profitmax,10,-6257.25603973,-529.93420043,0.90901287,-0.22773149,4.889947134692222,198.9131037840904,177,120
TD3_1,grid,0,-18939.06693991,-427.16486113,0.84297858,-0.18459083,3.865026904558056,223.70307235472382,198,191
TD3_1,v2g,10,411.23296882,411.23296882,0.21826194,-0.12814505,2.040126820436389,5.693377173310853,129,6
TD3_1,v2g_profitmax,10,-1843.00873858,-632.9837983,0.98199003,-0.23862943,2.0299302988994445,50.61644381671342,154,64
